,lnR,lnR_2
2017-11-22,-0.0019297428866176247,3.723907608451323e-06
2017-11-23,-0.03212854737876025,0.0010322435566692423
2017-11-24,-0.006775820905915886,4.591174894904678e-05
2017-11-27,-0.012281588864217596,0.00015083742502967367
2017-11-28,0.018550255258267256,0.000344111970146872
2017-11-29,-0.0036244367774811437,1.3136541953957898e-05
2017-11-30,-0.009601836716285561,9.219526832620949e-05
2017-12-01,0.01920101955618314,0.0003686791519969274
2017-12-04,-0.003803035349312367,1.4463077868119437e-05
2017-12-05,-0.02203465635077695,0.0004855260804968349
2017-12-06,0.014525038664667811,0.00021097674821009485
2017-12-07,-0.004116468575191767,1.694531353054134e-05
2017-12-08,0.008495094712118068,7.216663416785636e-05
2017-12-11,0.013759765792020318,0.00018933115465125252
2017-12-12,-0.010117160033272121,0.00010235692713883875
2017-12-13,0.004105665474638087,1.685648898963519e-05
2017-12-14,-0.006527021336027339,4.2602007520956104e-05
2017-12-15,-0.005796048431215617,3.359417741699701e-05
2017-12-18,-0.0018683676299495744,3.4907976006433896e-06
2017-12-19,0.00998013391056407,9.960307287279089e-05
2017-12-20,-0.008986603005525673,8.075903357892305e-05
2017-12-21,0.004103976757994232,1.6842625230156848e-05
2017-12-22,-0.005827848877188124,3.396382253534288e-05
2017-12-25,-0.013312220125569318,0.0001772152046716128
2017-12-26,0.0017128407461948214,2.9338234218252328e-06
2017-12-27,-0.007751047635621511,6.007873944967381e-05
2017-12-28,-0.00012606510706447693,1.5892411219178033e-08
2017-12-29,0.004362911368471778,1.903499560914028e-05
2018-01-02,0.009664160250314247,9.339599334375391e-05
2018-01-03,0.014423610173934343,0.00020804053044962226
2018-01-04,-0.0004289705608142569,1.8401574204529807e-07
2018-01-05,0.003787514643057932,1.4345267171378255e-05
2018-01-08,0.002627801865854984,6.905342646190935e-06
2018-01-09,-0.0014239215647817716,2.027552622650569e-06
2018-01-10,-0.006960333218438919,4.844623851170428e-05
2018-01-11,0.007315118106107299,5.351095290629884e-05
2018-01-12,-0.010323412749524863,0.00010657285079705249
2018-01-15,-0.03017578146840183,0.0009105777872287433
2018-01-16,-0.001744545849733825,3.043440221823514e-06
2018-01-17,0.007160931963600348,5.127894658731313e-05
2018-01-18,-0.0023160730232065774,5.3641942488252554e-06
2018-01-19,-0.00568934122464082,3.236860357039751e-05
2018-01-22,0.02292204982385382,0.0005254203681272369
2018-01-23,-0.0002149296961935221,4.619477430583971e-08
2018-01-24,0.02538455425628161,0.0006443755947901048
2018-01-25,-0.0013465339826908007,1.8131537665411495e-06
2018-01-26,0.003285885789400922,1.079704542098692e-05
2018-01-29,-0.009417832849146102,8.869557557445538e-05
2018-01-30,-0.009698108209237333,9.405330283807654e-05
2018-01-31,-0.026918775817389218,0.0007246204915068586
2018-02-01,-0.02195021776061523,0.00048181205973842837
2018-02-02,0.0029648650175468916,8.79042457227333e-06
2018-02-05,-0.008352306201024895,6.976101887567892e-05
2018-02-06,-0.054876397597332094,0.0030114190132604756
